 ,院校代码,院校名称,专业组,专业名称,招生地区,选考科目,招生年份,录取批次,最低分,最低分位次,招生人数,备注,,,,,,,,,,,,,
不分文理,A486,武汉大学,HA,计算机类(国家网络安全学院),山东,物理,2021,常规1志愿,649,1704,10,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,09,医学试验班,山东,化学和生物,2021,常规1志愿,649,1701,8,- ,,,,,,,,,,,,,
不分文理,A025,首都医科大学,05,临床医学(阶平班),山东,物理和化学,2021,常规1志愿,649,1736,1,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,06,工科试验班(信息科学技术),山东,物理,2021,常规1志愿,648,1934,50,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,68,临床医学(五年),山东,物理和化学,2021,常规1志愿,648,1877,5,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,C6,法学(含国际法试验班),山东,历史,2021,常规1志愿,648,1819,5,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1E,工科试验班(越杰计划之智能电气与信息类q),山东,物理,2021,常规1志愿,648,1853,6,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,H6,物理学类(含物理学国家拔尖学生培养基地),山东,物理和化学,2021,常规1志愿,648,1931,9,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,05,航空航天类(陈士橹飞天班),山东,物理,2021,常规1志愿,648,1925,2,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,23,经济管理试验班(本硕博连读),山东,不限,2021,常规1志愿,648,1916,1,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,13,工科试验班(智能交通与车辆类),山东,物理,2021,常规1志愿,648,1873,19,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,17,理科试验班,山东,物理,2021,常规1志愿,648,1835,15,- ,,,,,,,,,,,,,
不分文理,A025,首都医科大学,03,口腔医学(5+3一体化),山东,物理和化学,2021,常规1志愿,648,1898,1,- ,,,,,,,,,,,,,
不分文理,A030,北京外国语大学,48,西班牙语,山东,历史,2021,常规1志愿,647,1968,2,- ,,,,,,,,,,,,,
不分文理,A269,华东师范大学,78,统计学(双学位),山东,物理或化学,2021,常规1志愿,647,1960,2,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,C4,新闻传播学类(含卓越新闻传播人才教育培养计划),山东,物理或历史,2021,常规1志愿,647,2056,4,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1B,工科试验班(钱学森班之智慧能源动力q),山东,物理,2021,常规1志愿,647,1981,6,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,D2,人文科学试验班(弘毅学堂),山东,历史,2021,常规1志愿,647,2036,2,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,92,口腔医学(5+3一体化),山东,化学和生物,2021,常规1志愿,647,2016,2,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,19,工科试验班(智能装备与先进材料本硕博连读),山东,物理,2021,常规1志愿,647,1988,2,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,33,临床医学类(同济医学院),山东,化学和生物,2021,常规1志愿,647,1966,14,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,04,工科试验班(宇航与机电类),山东,物理,2021,常规1志愿,646,2144,19,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,07,工科试验班(电子信息实验班),山东,物理,2021,常规1志愿,646,2099,42,- ,,,,,,,,,,,,,
不分文理,A030,北京外国语大学,36,翻译(外交外事高级翻译),山东,不限,2021,常规1志愿,646,2161,2,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学,06,工商管理类(会计学院),山东,不限,2021,常规1志愿,646,2135,6,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,22,工科试验班(资源环境与新材料化工本硕博连读),山东,物理,2021,常规1志愿,646,2148,1,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,5L,电子信息类(电信学院),山东,物理,2021,常规1志愿,646,2180,27,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,03,法学(法学人才培养模式改革实验班),山东,不限,2021,常规1志愿,646,2097,14,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,04,法学(涉外法治人才培养实验班),山东,不限,2021,常规1志愿,646,2174,7,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,1G,社会科学试验班,山东,不限,2021,常规1志愿,645,2298,11,- ,,,,,,,,,,,,,
不分文理,A055,南开大学,3M,临床医学(5+3一体化),山东,化学和生物,2021,常规1志愿,645,2227,8,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,09,工科试验班(智能制造与智能车辆精英班),山东,物理,2021,常规1志愿,645,2226,9,- ,,,,,,,,,,,,,
不分文理,A055,南开大学,41,工科试验班(信息科学与技术),山东,物理,2021,常规1志愿,645,2322,40,- ,,,,,,,,,,,,,
不分文理,A030,北京外国语大学,13,法语,山东,不限,2021,常规1志愿,645,2246,3,- ,,,,,,,,,,,,,
不分文理,A036,对外经济贸易大学,09,金融工程(量化金融实验班),山东,物理,2021,常规1志愿,645,2228,4,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,A1,中国语言文学类(含中国语言文学国家拔尖学生培养基地),山东,历史,2021,常规1志愿,645,2296,4,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,0C,财政学类,山东,不限,2021,常规1志愿,645,2310,4,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,0Q,统计学类,山东,物理,2021,常规1志愿,645,2205,5,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,HE,电子信息类(含卓越工程师教育培养计划),山东,物理,2021,常规1志愿,645,2239,11,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,HG,遥感科学与技术(国家一流本科专业),山东,物理,2021,常规1志愿,645,2290,10,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,01,数学类,山东,物理,2021,常规1志愿,645,2269,6,- ,,,,,,,,,,,,,
不分文理,A286,东南大学,0Q,建筑类,山东,物理或历史或地理,2021,常规1志愿,644,2467,7,- ,,,,,,,,,,,,,
不分文理,A286,东南大学,11,计算机类,山东,物理,2021,常规1志愿,644,2452,20,- ,,,,,,,,,,,,,
不分文理,A558,中山大学,0M,临床医学类(广州，医学实验班，分流专业详见招生官网),山东,物理和化学,2021,常规1志愿,644,2412,19,- ,,,,,,,,,,,,,
不分文理,A013,北京邮电大学,0M,计算机类,山东,物理,2021,常规1志愿,644,2360,18,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,5B,应用生物科学(农学),山东,物理或化学,2021,常规1志愿,644,2362,25,- ,,,,,,,,,,,,,
不分文理,A614,电子科技大学,P3,计算机科学与技术(智能金融与区块链金融双a联合学位实验班),山东,物理,2021,常规1志愿,644,2390,2,- ,,,,,,,,,,,,,
