 ,院校代码,院校名称,专业组,专业名称,招生地区,选考科目,招生年份,录取批次,最低分,最低分位次,招生人数,备注,,,,,,,,,,,,,
不分文理,A154,辽宁工业大学,02,机械设计制造及其自动化,山东,物理,2021,常规1志愿,519,109778,8,- ,,,,,,,,,,,,,
不分文理,Y016,济南大学,46,制药工程,山东,化学或生物,2021,常规1志愿,519,109831,11,- ,,,,,,,,,,,,,
不分文理,A377,滁州学院,25,地理信息科学,山东,物理或地理,2021,常规1志愿,519,111299,1,- ,,,,,,,,,,,,,
不分文理,A426,青岛科技大学(校企),HB,物联网工程(与青软创新科技集团合作),山东,物理,2021,常规1志愿,519,110093,70,校企,,,,,,,,,,,,,
不分文理,B736,西安航空学院,17,电气工程及其自动化,山东,物理,2021,常规1志愿,519,110502,3,- ,,,,,,,,,,,,,
不分文理,A114,山西医科大学,26,公共事业管理(卫生事业管理方向),山东,不限,2021,常规1志愿,519,111435,2,- ,,,,,,,,,,,,,
不分文理,D593,石家庄铁道大学四方学院,05,机械设计制造及其自动化,山东,物理,2021,常规1志愿,519,110324,1,- ,,,,,,,,,,,,,
不分文理,A154,辽宁工业大学,30,经济统计学,山东,不限,2021,常规1志愿,519,111235,2,- ,,,,,,,,,,,,,
不分文理,A566,广东海洋大学,54,水产养殖学,山东,物理或化学或生物,2021,常规1志愿,519,111100,6,- ,,,,,,,,,,,,,
不分文理,A154,辽宁工业大学,38,土木工程,山东,物理,2021,常规1志愿,519,109991,2,- ,,,,,,,,,,,,,
不分文理,A546,衡阳师范学院,21,商务英语,山东,不限,2021,常规1志愿,519,110186,1,- ,,,,,,,,,,,,,
不分文理,A410,江西农业大学,F4,土地资源管理,山东,地理,2021,常规1志愿,519,111601,2,- ,,,,,,,,,,,,,
不分文理,A451,鲁东大学,52,电子信息工程,山东,物理,2021,常规1志愿,519,109923,59,- ,,,,,,,,,,,,,
不分文理,A117,长治医学院,08,医学检验技术,山东,生物,2021,常规1志愿,519,109974,1,- ,,,,,,,,,,,,,
不分文理,B066,烟台大学,45,能源与动力工程,山东,物理或化学,2021,常规1志愿,519,110638,65,- ,,,,,,,,,,,,,
不分文理,B420,河北金融学院,02,财政学类,山东,不限,2021,常规1志愿,519,110996,4,- ,,,,,,,,,,,,,
不分文理,D437,南昌医学院,01,中医学(不招色盲色弱考生),山东,物理或化学或生物,2021,常规1志愿,519,111094,5,- ,,,,,,,,,,,,,
不分文理,C026,大连民族大学,07,自动化,山东,物理,2021,常规1志愿,519,111018,2,- ,,,,,,,,,,,,,
不分文理,A081,华北理工大学,0G,护理学,山东,不限,2021,常规1志愿,519,110559,10,- ,,,,,,,,,,,,,
不分文理,A402,闽南师范大学,1R,电气工程及其自动化,山东,物理,2021,常规1志愿,519,110910,2,- ,,,,,,,,,,,,,
不分文理,A735,甘肃中医药大学,12,中药学,山东,物理或化学或生物,2021,常规1志愿,519,111369,1,- ,,,,,,,,,,,,,
不分文理,A146,辽宁科技大学,02,材料科学与工程,山东,化学,2021,常规1志愿,519,109962,2,- ,,,,,,,,,,,,,
不分文理,A412,江西中医药大学,0M,医学信息工程,山东,物理,2021,常规1志愿,519,110530,2,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,51,统计学,山东,物理或化学或生物,2021,常规1志愿,519,111037,62,- ,,,,,,,,,,,,,
不分文理,B035,沈阳大学,54,旅游管理,山东,不限,2021,常规1志愿,519,111352,3,- ,,,,,,,,,,,,,
不分文理,C034,湖南第一师范学院,04,科学教育(师范类),山东,物理或化学或生物,2021,常规1志愿,519,110979,2,- ,,,,,,,,,,,,,
不分文理,C034,湖南第一师范学院,14,数学与应用数学(师范类),山东,物理,2021,常规1志愿,519,109810,2,- ,,,,,,,,,,,,,
不分文理,A119,太原师范学院,0S,英语(师范类),山东,不限,2021,常规1志愿,519,111552,5,- ,,,,,,,,,,,,,
不分文理,A513,湖北师范大学,3Q,环境工程,山东,化学,2021,常规1志愿,519,109942,6,- ,,,,,,,,,,,,,
不分文理,E276,齐鲁师范学院,27,中国语言文学类(师范类),山东,思想政治或历史或地理,2021,常规1志愿,519,110658,72,- ,,,,,,,,,,,,,
不分文理,A146,辽宁科技大学,39,矿物加工工程,山东,物理或化学,2021,常规1志愿,519,111307,1,- ,,,,,,,,,,,,,
不分文理,A201,北华大学,H3,统计学类,山东,物理或化学或生物,2021,常规1志愿,519,110312,3,- ,,,,,,,,,,,,,
不分文理,A460,河南理工大学,20,水文与水资源工程,山东,物理或化学,2021,常规1志愿,519,111081,2,- ,,,,,,,,,,,,,
不分文理,A147,辽宁工程技术大学,06,安全工程,山东,物理,2021,常规1志愿,518,112407,2,- ,,,,,,,,,,,,,
不分文理,A186,长春理工大学,K3,朝鲜语,山东,不限,2021,常规1志愿,518,113564,3,- ,,,,,,,,,,,,,
不分文理,A680,云南中医药大学,0J,护理学,山东,不限,2021,常规1志愿,518,112011,1,- ,,,,,,,,,,,,,
不分文理,A441,山东中医药大学,06,中药学,山东,物理或化学或生物,2021,常规1志愿,518,111889,76,- ,,,,,,,,,,,,,
不分文理,A555,南华大学,0A,矿业类,山东,物理或化学或地理,2021,常规1志愿,518,111858,12,- ,,,,,,,,,,,,,
不分文理,A434,山东农业大学,04,制药工程,山东,物理或化学或生物,2021,常规1志愿,518,111929,19,- ,,,,,,,,,,,,,
不分文理,A148,辽宁石油化工大学,53,自动化,山东,物理,2021,常规1志愿,518,113180,2,- ,,,,,,,,,,,,,
不分文理,A148,辽宁石油化工大学,54,自动化(卓越计划班),山东,物理,2021,常规1志愿,518,113035,4,- ,,,,,,,,,,,,,
不分文理,A441,山东中医药大学,17,应用心理学,山东,不限,2021,常规1志愿,518,113276,69,- ,,,,,,,,,,,,,
不分文理,A441,山东中医药大学,18,法学,山东,不限,2021,常规1志愿,518,113522,37,- ,,,,,,,,,,,,,
不分文理,A228,黑龙江中医药大学,15,中药资源与开发,山东,化学或生物,2021,常规1志愿,518,113070,2,- ,,,,,,,,,,,,,
不分文理,A203,吉林师范大学,44,朝鲜语,山东,不限,2021,常规1志愿,518,112160,3,- ,,,,,,,,,,,,,
不分文理,A878,安徽建筑大学,0Z,无机非金属材料工程,山东,化学,2021,常规1志愿,518,112575,2,- ,,,,,,,,,,,,,
不分文理,A149,沈阳化工大学,20,电子信息工程,山东,物理,2021,常规1志愿,518,112438,2,- ,,,,,,,,,,,,,
不分文理,B551,重庆科技学院,52,工商管理类,山东,不限,2021,常规1志愿,518,112489,5,- ,,,,,,,,,,,,,
不分文理,A447,聊城大学,28,会计学,山东,不限,2021,常规1志愿,518,112497,66,- ,,,,,,,,,,,,,
不分文理,B406,甘肃政法大学,30,财务管理,山东,不限,2021,常规1志愿,518,113263,1,- ,,,,,,,,,,,,,
不分文理,C214,湖南医药学院,09,药学,山东,化学,2021,常规1志愿,518,112485,1,- ,,,,,,,,,,,,,
不分文理,A149,沈阳化工大学,31,软件工程,山东,物理,2021,常规1志愿,518,112604,2,- ,,,,,,,,,,,,,
不分文理,A441,山东中医药大学,N3,中药学(地方专项计划),山东,物理或化学或生物,2021,常规1志愿,518,112597,10,- ,,,,,,,,,,,,,
不分文理,A741,兰州财经大学,45,电子信息工程,山东,物理,2021,常规1志愿,518,112158,3,- ,,,,,,,,,,,,,
不分文理,A190,长春工业大学,47,国际经济与贸易,山东,不限,2021,常规1志愿,518,112495,2,- ,,,,,,,,,,,,,
不分文理,A405,东华理工大学,0D,地下水科学与工程,山东,物理或化学,2021,常规1志愿,518,113062,5,- ,,,,,,,,,,,,,
不分文理,A232,齐齐哈尔大学,17,广播电视学,山东,不限,2021,常规1志愿,518,113581,2,- ,,,,,,,,,,,,,
不分文理,A166,沈阳师范大学,45,社会工作,山东,不限,2021,常规1志愿,518,113422,5,- ,,,,,,,,,,,,,
不分文理,A691,云南民族大学,20,日语,山东,不限,2021,常规1志愿,518,112089,3,- ,,,,,,,,,,,,,
不分文理,A190,长春工业大学,62,化学,山东,物理或化学,2021,常规1志愿,518,113143,2,- ,,,,,,,,,,,,,
不分文理,A434,山东农业大学,42,通信工程,山东,物理,2021,常规1志愿,518,111734,30,- ,,,,,,,,,,,,,
不分文理,A419,井冈山大学,0V,化学(师范类),山东,物理或化学,2021,常规1志愿,518,113220,2,- ,,,,,,,,,,,,,
不分文理,A262,上海健康医学院,08,医学检验技术,山东,物理或化学或生物,2021,常规1志愿,518,113013,10,- ,,,,,,,,,,,,,
不分文理,A482,洛阳师范学院,11,英语(师范类),山东,不限,2021,常规1志愿,518,112935,6,- ,,,,,,,,,,,,,
不分文理,A671,贵州财经大学,14,工商管理类,山东,不限,2021,常规1志愿,518,111735,3,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,0D,应用化学,山东,物理或化学,2021,常规1志愿,518,113051,2,- ,,,,,,,,,,,,,
不分文理,A149,沈阳化工大学,59,英语,山东,不限,2021,常规1志愿,518,113188,4,- ,,,,,,,,,,,,,
不分文理,A262,上海健康医学院,16,公共事业管理,山东,不限,2021,常规1志愿,518,112578,5,- ,,,,,,,,,,,,,
不分文理,A149,沈阳化工大学,63,数据科学与大数据技术,山东,物理,2021,常规1志愿,518,112009,2,- ,,,,,,,,,,,,,
不分文理,A012,北京服装学院,04,轻化工程,山东,物理或化学,2021,常规1志愿,518,112242,6,- ,,,,,,,,,,,,,
不分文理,A205,长春师范大学,0F,计算机科学与技术(师范类),山东,物理,2021,常规1志愿,518,113141,4,- ,,,,,,,,,,,,,
不分文理,A638,西华师范大学,26,电子信息工程,山东,物理,2021,常规1志愿,518,111823,4,- ,,,,,,,,,,,,,
不分文理,A742,西北民族大学,PJ,英语,山东,不限,2021,常规1志愿,518,112576,2,- ,,,,,,,,,,,,,
不分文理,B062,厦门理工学院,29,旅游管理类,山东,不限,2021,常规1志愿,518,113549,5,- ,,,,,,,,,,,,,
不分文理,B407,北方民族大学,47,电子商务,山东,不限,2021,常规1志愿,518,112832,1,- ,,,,,,,,,,,,,
不分文理,A463,河南工业大学,63,材料类,山东,物理和化学,2021,常规1志愿,518,113501,4,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,12,测绘工程,山东,物理,2021,常规1志愿,518,112602,2,- ,,,,,,,,,,,,,
不分文理,A430,山东建筑大学,42,工商管理,山东,不限,2021,常规1志愿,518,112358,66,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,13,遥感科学与技术,山东,物理,2021,常规1志愿,518,112677,2,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,1F,城乡规划,山东,物理或历史或地理,2021,常规1志愿,518,112326,3,- ,,,,,,,,,,,,,
不分文理,A366,安徽医科大学(中外),0Q,健康服务与管理(中外),山东,不限,2021,常规1志愿,518,113061,2,中外,,,,,,,,,,,,,
不分文理,A643,重庆三峡学院,01,汉语言文学(师范类),山东,不限,2021,常规1志愿,518,112818,2,- ,,,,,,,,,,,,,
不分文理,A220,东北石油大学,60,资源勘查工程,山东,物理或化学,2021,常规1志愿,518,113542,8,- ,,,,,,,,,,,,,
不分文理,A113,山西农业大学,11,动物医学,山东,化学和生物,2021,常规1志愿,518,113526,5,- ,,,,,,,,,,,,,
不分文理,A407,江西理工大学,0F,材料科学与工程,山东,物理,2021,常规1志愿,518,111737,3,- ,,,,,,,,,,,,,
不分文理,A077,河北地质大学,1J,测绘类,山东,物理,2021,常规1志愿,518,111904,5,- ,,,,,,,,,,,,,
不分文理,B726,长春大学,0G,数学与应用数学,山东,物理,2021,常规1志愿,518,111985,2,- ,,,,,,,,,,,,,
不分文理,A431,齐鲁工业大学,0G,测控技术与仪器(海洋测控方向),山东,物理,2021,常规1志愿,518,111933,46,- ,,,,,,,,,,,,,
不分文理,A746,青海师范大学,31,英语(师范类),山东,不限,2021,常规1志愿,518,112097,5,- ,,,,,,,,,,,,,
不分文理,A431,齐鲁工业大学,0Q,食品科学与工程类,山东,物理或化学或生物,2021,常规1志愿,518,112752,65,- ,,,,,,,,,,,,,
不分文理,A431,齐鲁工业大学,0U,化学类,山东,化学,2021,常规1志愿,518,113304,70,- ,,,,,,,,,,,,,
不分文理,B726,长春大学,2E,金融工程,山东,不限,2021,常规1志愿,518,112304,2,- ,,,,,,,,,,,,,
不分文理,A466,河南农业大学,43,电子信息类,山东,物理,2021,常规1志愿,518,112981,4,- ,,,,,,,,,,,,,
不分文理,B726,长春大学,2K,电气工程及其自动化,山东,物理,2021,常规1志愿,518,112137,3,- ,,,,,,,,,,,,,
不分文理,A153,沈阳建筑大学,0S,应急管理,山东,物理,2021,常规1志愿,518,111959,1,- ,,,,,,,,,,,,,
不分文理,A596,桂林理工大学,22,地理信息科学,山东,物理或化学或地理,2021,常规1志愿,518,113355,3,- ,,,,,,,,,,,,,
不分文理,Y016,济南大学,3R,金融数学,山东,物理,2021,常规1志愿,518,111723,21,- ,,,,,,,,,,,,,
不分文理,A408,景德镇陶瓷大学,39,计算机科学与技术,山东,物理,2021,常规1志愿,518,112027,1,- ,,,,,,,,,,,,,
不分文理,A471,河南中医药大学,1G,外国语言文学类,山东,不限,2021,常规1志愿,518,112761,3,- ,,,,,,,,,,,,,
不分文理,A240,哈尔滨商业大学,86,公共管理类(财政与公共管理学院),山东,不限,2021,常规1志愿,518,113425,13,- ,,,,,,,,,,,,,
不分文理,A545,湘南学院,37,针灸推拿学,山东,物理或化学或生物,2021,常规1志愿,518,113324,2,- ,,,,,,,,,,,,,
不分文理,A596,桂林理工大学,46,自动化类,山东,物理,2021,常规1志愿,518,111718,4,- ,,,,,,,,,,,,,
不分文理,A438,潍坊医学院,22,临床药学,山东,物理或化学或生物,2021,常规1志愿,518,113209,50,- ,,,,,,,,,,,,,
不分文理,B332,湖北警官学院,08,法学,山东,不限,2021,常规1志愿,518,113617,9,- ,,,,,,,,,,,,,
不分文理,A823,长沙医学院,02,中医学,山东,物理或化学或生物,2021,常规1志愿,518,113231,2,- ,,,,,,,,,,,,,
不分文理,A245,哈尔滨金融学院,01,金融学,山东,不限,2021,常规1志愿,518,112474,2,- ,,,,,,,,,,,,,
不分文理,A193,吉林农业大学,0R,金融学,山东,不限,2021,常规1志愿,518,113629,2,- ,,,,,,,,,,,,,
不分文理,B066,烟台大学,34,应用化学,山东,物理或化学,2021,常规1志愿,518,112952,115,- ,,,,,,,,,,,,,
不分文理,A360,安徽工业大学,A3,冶金工程,山东,化学,2021,常规1志愿,518,112100,5,- ,,,,,,,,,,,,,
不分文理,A451,鲁东大学,56,人工智能,山东,物理,2021,常规1志愿,518,111764,61,- ,,,,,,,,,,,,,
不分文理,B066,烟台大学,44,海洋科学,山东,物理或化学或生物,2021,常规1志愿,518,112153,65,- ,,,,,,,,,,,,,
不分文理,A117,长治医学院,16,中药学,山东,化学或生物,2021,常规1志愿,518,112332,1,- ,,,,,,,,,,,,,
不分文理,A677,西南林业大学,55,林学,山东,物理或化学或生物,2021,常规1志愿,518,113498,2,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,34,城乡规划,山东,生物或历史或地理,2021,常规1志愿,518,113464,37,- ,,,,,,,,,,,,,
不分文理,A118,山西师范大学,1F,食品质量与安全,山东,物理或化学或生物,2021,常规1志愿,518,113040,2,- ,,,,,,,,,,,,,
不分文理,A735,甘肃中医药大学,19,应用心理学,山东,不限,2021,常规1志愿,518,111913,2,- ,,,,,,,,,,,,,
不分文理,A679,大理大学,13,临床药学,山东,物理或化学或生物,2021,常规1志愿,518,112653,2,- ,,,,,,,,,,,,,
不分文理,B230,齐齐哈尔医学院,0Z,医学检验技术,山东,化学或生物,2021,常规1志愿,518,111915,2,- ,,,,,,,,,,,,,
不分文理,A679,大理大学,24,建筑学,山东,物理或历史或地理,2021,常规1志愿,518,112906,2,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,68,广告学,山东,历史,2021,常规1志愿,518,113121,53,- ,,,,,,,,,,,,,
不分文理,A452,临沂大学,EJ,会计学,山东,不限,2021,常规1志愿,517,114373,60,- ,,,,,,,,,,,,,
不分文理,A579,岭南师范学院,08,历史学(师范类),山东,历史,2021,常规1志愿,517,114075,2,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,75,行政管理,山东,不限,2021,常规1志愿,517,115464,62,- ,,,,,,,,,,,,,
不分文理,B067,潍坊学院,36,英语(师范类),山东,不限,2021,常规1志愿,517,115003,42,- ,,,,,,,,,,,,,
不分文理,A109,太原科技大学,0T,过程装备与控制工程,山东,物理,2021,常规1志愿,517,114216,2,- ,,,,,,,,,,,,,
不分文理,A109,太原科技大学,0W,能源化学工程,山东,化学或生物,2021,常规1志愿,517,113730,2,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,91,数学类,山东,物理,2021,常规1志愿,517,114348,144,- ,,,,,,,,,,,,,
不分文理,A447,聊城大学,0J,教育技术学(师范类),山东,不限,2021,常规1志愿,517,114087,60,- ,,,,,,,,,,,,,
不分文理,A162,辽宁中医药大学,K1,英语,山东,思想政治或历史或地理,2021,常规1志愿,517,114489,4,- ,,,,,,,,,,,,,
不分文理,A447,聊城大学,0Y,物理学(师范类),山东,物理,2021,常规1志愿,517,114315,121,- ,,,,,,,,,,,,,
不分文理,A452,临沂大学,G0,数学与应用数学(师范类),山东,物理,2021,常规1志愿,517,113756,84,- ,,,,,,,,,,,,,
不分文理,A148,辽宁石油化工大学,31,计算机科学与技术,山东,物理,2021,常规1志愿,517,115092,2,- ,,,,,,,,,,,,,
不分文理,A608,广西民族大学,0S,翻译,山东,不限,2021,常规1志愿,517,113668,3,- ,,,,,,,,,,,,,
不分文理,A462,郑州轻工业大学,13,食品科学与工程,山东,物理或化学或生物,2021,常规1志愿,517,114284,5,- ,,,,,,,,,,,,,
不分文理,A228,黑龙江中医药大学,09,运动康复,山东,生物,2021,常规1志愿,517,114725,2,- ,,,,,,,,,,,,,
不分文理,A608,广西民族大学,1T,新闻传播学类,山东,不限,2021,常规1志愿,517,114328,3,- ,,,,,,,,,,,,,
不分文理,A349,绍兴文理学院,34,计算机类,山东,物理,2021,常规1志愿,517,113772,5,- ,,,,,,,,,,,,,
不分文理,A462,郑州轻工业大学,45,智能制造工程,山东,物理,2021,常规1志愿,517,114713,4,- ,,,,,,,,,,,,,
不分文理,A418,赣南师范大学,29,会计学,山东,不限,2021,常规1志愿,517,114245,2,- ,,,,,,,,,,,,,
不分文理,A463,河南工业大学,02,材料科学与工程,山东,物理和化学,2021,常规1志愿,517,114731,4,- ,,,,,,,,,,,,,
不分文理,A071,天津体育学院,13,应用心理学,山东,不限,2021,常规1志愿,517,113780,3,- ,,,,,,,,,,,,,
不分文理,A418,赣南师范大学,40,学前教育(师范类),山东,不限,2021,常规1志愿,517,115240,2,- ,,,,,,,,,,,,,
不分文理,E388,重庆第二师范学院,08,新闻传播学类,山东,不限,2021,常规1志愿,517,114927,4,- ,,,,,,,,,,,,,
不分文理,A190,长春工业大学,43,电子商务,山东,不限,2021,常规1志愿,517,114703,4,- ,,,,,,,,,,,,,
不分文理,A203,吉林师范大学,J2,环境科学,山东,物理或化学或生物,2021,常规1志愿,517,114826,2,- ,,,,,,,,,,,,,
不分文理,A434,山东农业大学,38,计算机类,山东,物理,2021,常规1志愿,517,114530,262,- ,,,,,,,,,,,,,
不分文理,A363,安徽工程大学,0W,工业工程,山东,不限,2021,常规1志愿,517,115529,5,- ,,,,,,,,,,,,,
不分文理,A482,洛阳师范学院,01,思想政治教育(师范类),山东,思想政治,2021,常规1志愿,517,114633,6,- ,,,,,,,,,,,,,
不分文理,A149,沈阳化工大学,48,会计学,山东,不限,2021,常规1志愿,517,114287,2,- ,,,,,,,,,,,,,
不分文理,A482,洛阳师范学院,08,历史学(师范类),山东,历史或地理,2021,常规1志愿,517,114973,6,- ,,,,,,,,,,,,,
不分文理,A262,上海健康医学院,12,药学,山东,化学或生物,2021,常规1志愿,517,115032,12,- ,,,,,,,,,,,,,
不分文理,A190,长春工业大学,93,社会工作,山东,不限,2021,常规1志愿,517,115185,1,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,0H,工程力学,山东,物理,2021,常规1志愿,517,113761,2,- ,,,,,,,,,,,,,
不分文理,A167,渤海大学,26,信息与计算科学,山东,物理,2021,常规1志愿,517,115079,5,- ,,,,,,,,,,,,,
不分文理,A672,贵州民族大学,0Z,历史学,山东,历史和地理,2021,常规1志愿,517,114326,2,- ,,,,,,,,,,,,,
不分文理,A443,济宁医学院,14,医学检验技术,山东,物理或化学或生物,2021,常规1志愿,517,113981,72,- ,,,,,,,,,,,,,
不分文理,A419,井冈山大学,1F,汉语言文学(师范类),山东,不限,2021,常规1志愿,517,115141,7,- ,,,,,,,,,,,,,
不分文理,Y003,青岛科技大学,2E,自动化(高密校区),山东,物理,2021,常规1志愿,517,114043,60,- ,,,,,,,,,,,,,
不分文理,D284,温州医科大学仁济学院,04,临床医学,山东,化学和生物,2021,常规1志愿,517,114744,4,- ,,,,,,,,,,,,,
不分文理,E432,河北中医学院,08,医学检验技术,山东,物理或化学或生物,2021,常规1志愿,517,114522,3,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,0W,给排水科学与工程,山东,物理,2021,常规1志愿,517,115184,2,- ,,,,,,,,,,,,,
不分文理,E432,河北中医学院,0A,口腔医学技术,山东,物理或化学或生物,2021,常规1志愿,517,115140,3,- ,,,,,,,,,,,,,
不分文理,A205,长春师范大学,1F,俄语(师范类),山东,不限,2021,常规1志愿,517,115544,4,- ,,,,,,,,,,,,,
不分文理,A389,福建农林大学,52,轻化工程,山东,物理或化学,2021,常规1志愿,517,114267,4,- ,,,,,,,,,,,,,
不分文理,A076,河北工程大学,1Q,医学影像技术,山东,物理,2021,常规1志愿,517,114425,2,- ,,,,,,,,,,,,,
不分文理,B077,长沙学院,26,财务管理,山东,不限,2021,常规1志愿,517,115214,2,- ,,,,,,,,,,,,,
不分文理,A220,东北石油大学,56,应用化学,山东,化学,2021,常规1志愿,517,115355,2,- ,,,,,,,,,,,,,
不分文理,A389,福建农林大学(中外),W5,农业资源与环境(中外),山东,物理或化学或生物,2021,常规1志愿,517,114794,2,中外,,,,,,,,,,,,,
不分文理,A643,重庆三峡学院,02,汉语言文学,山东,不限,2021,常规1志愿,517,115009,2,- ,,,,,,,,,,,,,
不分文理,A464,河南科技大学,56,农业工程类,山东,物理或化学或生物,2021,常规1志愿,517,114641,10,- ,,,,,,,,,,,,,
不分文理,A407,江西理工大学,0A,冶金工程,山东,化学,2021,常规1志愿,517,114292,2,- ,,,,,,,,,,,,,
不分文理,A077,河北地质大学,0C,管理科学与工程类,山东,物理,2021,常规1志愿,517,114317,4,- ,,,,,,,,,,,,,
不分文理,A096,保定学院,A2,小学教育(师范类),山东,不限,2021,常规1志愿,517,115260,1,- ,,,,,,,,,,,,,
不分文理,A435,青岛农业大学,33,计算机科学与技术,山东,物理,2021,常规1志愿,517,114821,134,- ,,,,,,,,,,,,,
不分文理,A531,吉首大学,7A,数学与应用数学(师范类),山东,物理,2021,常规1志愿,517,115037,2,- ,,,,,,,,,,,,,
不分文理,B629,北华航天工业学院,19,电气工程与智能控制,山东,物理,2021,常规1志愿,517,114520,1,- ,,,,,,,,,,,,,
不分文理,A289,江苏科技大学(中外),37,船舶与海洋工程(中外),山东,物理,2021,常规1志愿,517,114913,12,中外,,,,,,,,,,,,,
不分文理,B629,北华航天工业学院,28,计算机科学与技术,山东,物理,2021,常规1志愿,517,113876,2,- ,,,,,,,,,,,,,
不分文理,A731,兰州理工大学,2Z,市场营销,山东,不限,2021,常规1志愿,517,115466,2,- ,,,,,,,,,,,,,
不分文理,B726,长春大学,2F,国际经济与贸易,山东,不限,2021,常规1志愿,517,114111,2,- ,,,,,,,,,,,,,
不分文理,A674,昆明理工大学(中外),Z1,土木工程(中外),山东,物理,2021,常规1志愿,517,113700,10,中外,,,,,,,,,,,,,
不分文理,A395,闽江学院,05,财务管理,山东,不限,2021,常规1志愿,517,113817,2,- ,,,,,,,,,,,,,
不分文理,Y016,济南大学,3Z,机械类,山东,物理,2021,常规1志愿,517,114611,40,- ,,,,,,,,,,,,,
不分文理,A438,潍坊医学院,13,卫生检验与检疫,山东,物理或化学或生物,2021,常规1志愿,517,114833,27,- ,,,,,,,,,,,,,
不分文理,B066,烟台大学,17,应用物理学,山东,物理,2021,常规1志愿,517,115296,135,- ,,,,,,,,,,,,,
不分文理,A377,滁州学院,42,财务管理,山东,不限,2021,常规1志愿,517,114595,1,- ,,,,,,,,,,,,,
不分文理,A546,衡阳师范学院,02,国际经济与贸易,山东,不限,2021,常规1志愿,517,115441,1,- ,,,,,,,,,,,,,
不分文理,A431,齐鲁工业大学(校企),20,计算机科学与技术(与山东亿云信息技术有限公司合作),山东,物理,2021,常规1志愿,517,114718,40,校企,,,,,,,,,,,,,
不分文理,A676,云南农业大学,21,英语,山东,不限,2021,常规1志愿,517,114591,1,- ,,,,,,,,,,,,,
不分文理,B066,烟台大学,31,土木工程,山东,物理,2021,常规1志愿,517,114067,95,- ,,,,,,,,,,,,,
不分文理,B116,成都工业学院,11,计算机类,山东,物理,2021,常规1志愿,517,115063,3,- ,,,,,,,,,,,,,
不分文理,A117,长治医学院,06,预防医学,山东,化学和生物,2021,常规1志愿,517,114273,2,- ,,,,,,,,,,,,,
不分文理,A157,沈阳农业大学,0M,农林经济管理,山东,不限,2021,常规1志愿,517,114788,3,- ,,,,,,,,,,,,,
不分文理,A451,鲁东大学,53,通信工程,山东,物理,2021,常规1志愿,517,114359,58,- ,,,,,,,,,,,,,
不分文理,A157,沈阳农业大学,0W,计算机科学与技术,山东,物理,2021,常规1志愿,517,114012,4,- ,,,,,,,,,,,,,
不分文理,A546,衡阳师范学院,56,应用心理学(师范类),山东,不限,2021,常规1志愿,517,115112,1,- ,,,,,,,,,,,,,
不分文理,A733,甘肃农业大学,1Y,汉语言文学,山东,思想政治或历史或地理,2021,常规1志愿,517,115484,4,- ,,,,,,,,,,,,,
不分文理,A427,济南大学(校企),0Y,智能电网信息工程(与国家电网技术学院分公司合作),山东,物理,2021,常规1志愿,517,114362,40,校企,,,,,,,,,,,,,
不分文理,A735,甘肃中医药大学,06,康复治疗学,山东,物理或化学或生物,2021,常规1志愿,517,114957,1,- ,,,,,,,,,,,,,
不分文理,A402,闽南师范大学,5T,财务管理,山东,物理,2021,常规1志愿,517,114255,4,- ,,,,,,,,,,,,,
不分文理,A433,山东理工大学,50,微电子科学与工程,山东,物理,2021,常规1志愿,517,113930,40,- ,,,,,,,,,,,,,
不分文理,A735,甘肃中医药大学,23,卫生检验与检疫,山东,化学和生物,2021,常规1志愿,517,113677,1,- ,,,,,,,,,,,,,
不分文理,E276,齐鲁师范学院,23,小学教育(师范类),山东,不限,2021,常规1志愿,517,114621,37,- ,,,,,,,,,,,,,
不分文理,E276,齐鲁师范学院,28,英语(师范类),山东,不限,2021,常规1志愿,517,114618,80,- ,,,,,,,,,,,,,
不分文理,A119,太原师范学院,0U,历史学(师范类),山东,历史,2021,常规1志愿,517,114274,5,- ,,,,,,,,,,,,,
不分文理,A603,南宁师范大学,21,数学与应用数学(师范类),山东,物理,2021,常规1志愿,517,114227,2,- ,,,,,,,,,,,,,
不分文理,A679,大理大学,25,电子信息工程,山东,物理,2021,常规1志愿,517,113640,2,- ,,,,,,,,,,,,,
不分文理,A201,北华大学,L1,物理学(师范类),山东,物理,2021,常规1志愿,517,115202,3,- ,,,,,,,,,,,,,
不分文理,A452,临沂大学,EG,应用心理学(师范类),山东,不限,2021,常规1志愿,516,116797,50,- ,,,,,,,,,,,,,
不分文理,A109,太原科技大学,0J,应用统计学,山东,物理,2021,常规1志愿,516,116364,2,- ,,,,,,,,,,,,,
不分文理,A109,太原科技大学,0K,环境工程,山东,化学或生物,2021,常规1志愿,516,116007,2,- ,,,,,,,,,,,,,
